Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5CQoqXdZsczvoX7anShh1l,"Ferry de Roze Flamingo","Ferry de Roze Flamingo","Barry Fest;Tim Schalkx",2018-06-20,171000,0,false,dylan_sjo,2022-02-23T06:24:42Z,"hollands,hardstyle","Chiron Music",0.734,0.909,0,-3.153,1,0.0535,0.118,0,0.336,0.869,145.032,4
spotify:track:4wJR2C7Uz5ITr0SD2mi0aB,"Alles Is Anders","Alles Is Anders","Rudy de Wit",2022-03-11,221000,28,false,dylan_sjo,2022-03-21T17:56:04Z,"hollands","Hit It! Music",0.631,0.937,10,-2.515,1,0.077,0.239,0.00000822,0.345,0.925,130.744,4
spotify:track:2f3r30tUYdzWSuewKpqK9n,"Oh Jij Ja Jij","Alles Is Anders","Rudy de Wit",2022-03-11,181000,30,false,dylan_sjo,2022-03-21T17:56:11Z,"hollands","Hit It! Music",0.72,0.85,0,-5.14,1,0.0558,0.0438,0,0.145,0.954,132.072,4
spotify:track:489UiM5fiHRdMvhV9wjMPG,"Kom En Zing Mee","Alles Is Anders","Rudy de Wit",2022-03-11,195000,25,false,dylan_sjo,2022-03-22T19:19:32Z,"hollands","Hit It! Music",0.679,0.912,7,-4.768,1,0.0368,0.286,0.00000706,0.393,0.965,131.99,4
spotify:track:6aLan0K1ygohnYkJQGemiF,"Oh. Luister Toch","Ritme Van De Nacht","Ferry de Lits",2009-10-19,188000,34,false,dylan_sjo,2022-03-22T19:21:31Z,"hollands","Berk Music",0.777,0.931,5,-3.953,1,0.0371,0.309,0,0.29,0.981,132.073,4
spotify:track:6jIocviT1DDfSfzDARidXb,"Ha'k Jou Maar Nooit Gekend","Ha'k Jou Maar Nooit Gekend","Jan Biggel",2022-03-11,197626,28,false,dylan_sjo,2022-03-22T19:22:13Z,"hollands","Berk Music",0.852,0.904,11,-3.652,1,0.164,0.158,0,0.179,0.87,118.075,4
spotify:track:7AzdgO4NtTm57ACQmhxrOL,"Ik Zie De Liefde","Ik Zie De Liefde","Rutger van Barneveld",2022-02-11,207000,12,false,dylan_sjo,2022-03-22T19:23:18Z,"hollands","Hit It! Music",0.782,0.916,0,-3.685,0,0.0305,0.413,0,0.499,0.965,108.018,4
spotify:track:2Cl51aUeYCxTciejo502Xp,"Schouder Om Op Te Huilen","Schouder Om Op Te Huilen","Robert Pater",2022-01-28,190080,10,false,dylan_sjo,2022-03-22T19:24:28Z,"hollands","CDHamster",0.712,0.843,3,-6.781,1,0.0495,0.303,0.0000051,0.162,0.912,131.956,4
spotify:track:18OaG8VRx4lm1TbJZCw5Bz,"Bewijs het dan","Bewijs het dan","Franz Joostink",2022-02-23,188135,24,false,dylan_sjo,2022-03-22T19:29:05Z,"hollands","Nationale Artiesten Parade",0.679,0.969,7,-3.564,1,0.0652,0.0356,0,0.304,0.963,129.942,4
spotify:track:4dE0pmxjxSmOSo7yKePe42,"Dikke 10","Dikke 10","Rutger van Barneveld",2022-05-20,201405,34,false,dylan_sjo,2022-06-09T09:23:03Z,"hollands","Cornelis Music",0.67,0.932,9,-4.047,1,0.0566,0.0621,0,0.324,0.809,126.025,4
spotify:track:1YlHHngcUYlyxB19hVSYYd,"Sexy Lady","Sexy Lady","John West;Lange Frans",2022-05-06,196632,40,false,dylan_sjo,2022-06-14T19:55:51Z,"hollands,nederpop","Cornelis Music",0.658,0.957,11,-3.922,0,0.0847,0.0997,0,0.0664,0.92,120.047,4
spotify:track:3c28vYkrzU9nVqvJfbaSiu,"Amalia","Amalia","Wesly Bronkhorst",2022-06-02,157485,59,false,dylan_sjo,2022-06-27T16:04:32Z,"hollands","NRGY Music",0.705,0.942,7,-2.179,0,0.0957,0.284,0.00000127,0.334,0.879,106.043,4
spotify:track:0MCRTYYXeGNlYjNbCqxXVm,"Mercedes Benz","Mercedes Benz","Bertus Sipma",2022-05-14,136406,28,false,dylan_sjo,2022-07-07T17:49:16Z,"hollands","BHM Digital V.O.F",0.836,0.84,11,-3.342,1,0.0712,0.158,0,0.22,0.962,120,4
spotify:track:019i5DShlheA968VKllqdh,"`n Griekse nach","` t Merretkoer LIVE","'t Merretkoer",2015-03-18,250786,44,false,dylan_sjo,2022-08-25T19:38:34Z,"","Pebble Music",0.609,0.648,7,-9.726,1,0.0536,0.419,0,0.76,0.787,126.794,4
spotify:track:5meI025SYNIsanGc3NpCAs,"Gina","Gina","Robert Pater",2022-08-26,218890,49,false,dylan_sjo,2022-08-26T14:42:47Z,"hollands","CDHamster",0.826,0.937,9,-3.407,1,0.0551,0.229,0,0.33,0.961,131.998,4
spotify:track:50HzpHWXdWC9IyNSI1ss7H,"Viva Cerveza","Viva Cerveza","Ferry de Lits",2022-07-22,206250,52,false,dylan_sjo,2022-09-11T18:25:07Z,"hollands","Berk Music",0.559,0.835,4,-5.164,0,0.102,0.17,0,0.412,0.381,133.034,4
