Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7h2yhVxcZOGyQdOwD4Hu8J,"I Want To Break Free - Remastered 2011","The Works (Deluxe Remastered Version)","Queen",1984-02-27,258013,63,false,qmusicnl,2025-06-22T19:41:17Z,"classic rock,rock,glamrock","Hollywood Records",0.795,0.433,4,-8.927,1,0.0324,0.0853,0.000284,0.0762,0.6,108.947,4
spotify:track:67wewfYRTUs6OxfmgGfRho,"Sugardaddy","Mama I Made It","Roxy Dekker",2025-03-07,131796,63,false,qmusicnl,2025-06-22T19:41:17Z,"nederpop,hollands","Warner Music Benelux",0.84,0.856,1,-3.743,1,0.112,0.215,0.00071,0.0651,0.794,127.046,4
spotify:track:3oEHQmhvFLiE7ZYES0ulzv,"My Heart Will Go On - Love Theme from ""Titanic""","Let's Talk About Love","Céline Dion",1997-10-24,280000,1,false,qmusicnl,2025-06-22T19:41:17Z,"variété française","Columbia",0.428,0.276,4,-11.729,1,0.0312,0.732,0.00000533,0.117,0.0382,99.195,1
spotify:track:3bs3S4PjEJ5rCQ0Gv1Cu0b,"Gabbertje (Radio Mix)","Vet heftig","Hakkuhbar",1997,182093,37,false,qmusicnl,2025-06-22T19:41:17Z,"happy hardcore,gabber,hardcore","CNR Music",0.578,0.965,7,-5.959,1,0.154,0.0359,0.00000877,0.342,0.129,172.036,4
spotify:track:3yfqSUWxFvZELEM4PmlwIR,"The Real Slim Shady","The Marshall Mathers LP","Eminem",2000-05-23,284200,85,true,qmusicnl,2025-06-22T19:41:17Z,"rap,hiphop","Eminem Catalog PS",0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,4
spotify:track:0KCcRzDsTMAbivhwGzdFZx,"Liefs Uit Londen","Helder (inclusief Live Bonus Tracks)","BLØF",1998-01-01,238893,52,false,qmusicnl,2025-06-22T19:41:17Z,"nederpop,hollands","Universal Music, a division of Universal International Music BV",0.436,0.133,0,-18.596,1,0.0357,0.805,0.000284,0.176,0.134,77.464,3
spotify:track:6eli3U2JBeqE2gZumLSMnc,"Cowboys & Indianen","Oef Oef","Dikdakkers",2012-01-05,190000,32,false,qmusicnl,2025-06-22T19:41:17Z,"hollands","Berk Music",0.63,0.999,8,-6.434,1,0.0536,0.0976,0,0.334,0.773,136.071,4
spotify:track:37ZJ0p5Jm13JPevGcx4SkF,"Livin' On A Prayer","Slippery When Wet","Bon Jovi",1986-08-16,249293,82,false,qmusicnl,2025-06-22T19:41:17Z,"glam-metal","Island Records",0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000206,0.294,0.794,122.509,4
spotify:track:4tdZ0T8V5QK1l7PvydjXay,"Heb Je Even Voor Mij","Bauer Top100","Frans Bauer",2006-12-06,196946,43,false,qmusicnl,2025-06-22T19:41:17Z,"hollands,nederpop","Sony Music Entertainment",0.789,0.877,4,-6.646,1,0.0355,0.102,0.0000599,0.379,0.922,118.036,4
spotify:track:3ktQWLu1mVhc4GTMrdPLEG,"Macarena - Bayside Boys Remix","Summermix 2005","Los Del Rio",2005-08-08,221973,44,false,qmusicnl,2025-06-22T19:41:17Z,"","Sony BMG Music Entertainment",0.738,0.864,11,-7.95,1,0.054,0.131,0.00000322,0.0683,0.961,103.203,4
spotify:track:4cLYP98m67K11wgXnekmvu,"De Soldaat","Pak Maar M'n Hand","Nick & Simon",2007,164800,0,false,qmusicnl,2025-06-22T19:41:17Z,"hollands,nederpop","Artist & Company",0.607,0.695,4,-5.822,1,0.0337,0.422,0,0.104,0.879,90.027,4
spotify:track:0eNaTq6yF6tuwcA99e14q9,"Stars","The Best Of Charly Lownoise & Mental Theo","Charly Lownoise;Mental Theo",2017-03-03,217835,11,false,qmusicnl,2025-06-22T19:41:17Z,"happy hardcore,gabber,hardstyle,eurodance,hardcore,frenchcore","Cloud 9 Music",0.493,0.98,11,-7.171,1,0.0387,0.0612,0.221,0.0791,0.873,165.919,4
spotify:track:0otIFwtEKqrDBGb3cvLRu4,"Belgie ... (Is Er Leven Op Pluto ...)","Belgie","Het Goede Doel",1982,360706,53,false,qmusicnl,2025-06-22T19:41:17Z,"nederpop,hollands","Red Bullet",0.584,0.662,0,-13.559,0,0.0412,0.0114,0.000413,0.0741,0.658,140.926,3
spotify:track:6epn3r7S14KUqlReYr77hA,"Baby","My World 2.0","Justin Bieber;Ludacris",2010-01-01,214240,85,false,qmusicnl,2025-06-22T19:41:17Z,"dirty south rap","RBMG/Def Jam",0.728,0.859,5,-5.237,0,0.137,0.0401,0,0.111,0.535,65.043,4
spotify:track:43TPlT0l0HXLtKUOUoY3gY,"Baila de Gasolina","Baila de Gasolina","Effe Serieus",2025-01-17,140782,69,false,qmusicnl,2025-06-22T19:41:17Z,"hollands","Van De Watermakers",0.416,0.866,2,-6.222,1,0.0357,0.0112,0,0.376,0.461,127.65,1
spotify:track:6eQQLxpKeoNqwT90zSD4Em,"Summer Jam 2003 - Remix","Remix Hits, Vol.1","The Underdog Project;Summermix",2003-07-25,229880,3,false,qmusicnl,2025-06-22T19:41:17Z,"","ALPHA RECORDS",0.784,0.804,9,-8.024,0,0.112,0.21,0.000359,0.101,0.817,130.03,4
spotify:track:2Qb2xTuF6qLsLirZxlvkBk,"Even Aan Mijn Moeder Vragen","Huilen is voor jou te laat – Smartlappen & Levensliedjes","Bloem",2011-11-25,179533,50,false,qmusicnl,2025-06-22T19:41:17Z,"nederpop,hollands","CNR Music",0.536,0.731,5,-6.871,1,0.0766,0.127,0,0.0714,0.676,118.397,4
spotify:track:7eTrljaAncmUWLWrZtHHOf,"Best Friends","We love to Sing","Toybox;Barbara Griffin;Louise Perryman",2011-07-19,149802,22,false,qmusicnl,2025-06-22T19:41:17Z,"","Independent",0.93,0.596,2,-7.133,1,0.0513,0.0797,0,0.115,0.8,129.991,4
spotify:track:7D5vAulNfrQV6xEwzgH0OF,"Sterrenstof","De Lachende Derde","De Jeugd Van Tegenwoordig",2010-01-01,220946,60,true,qmusicnl,2025-06-22T19:41:17Z,"nederpop,hollands","Top Notch Music BV",0.714,0.79,5,-3.757,0,0.109,0.317,0.0000127,0.198,0.904,97.012,4
